id_diaanalisis,fiesta
1/1/18,New Year's Day
5/1/18,Labor Day
6/29/18,St. Peter and St. Paul Day
7/28/18,Independence Day
7/29/18,Independence Day
8/30/18,St. Rose of Lima Day
10/8/18,Battle of Angamos
11/1/18,All Saints' Day
12/8/18,Immaculate Conception
12/25/18,Christmas
1/1/19,New Year's Day
5/1/19,Labor Day
6/29/19,St. Peter and St. Paul Day
7/28/19,Independence Day
7/29/19,Independence Day
8/30/19,St. Rose of Lima Day
10/8/19,Battle of Angamos
11/1/19,All Saints' Day
12/8/19,Immaculate Conception
12/25/19,Christmas
1/1/20,New Year's Day
5/1/20,Labor Day
6/29/20,St. Peter and St. Paul Day
7/28/20,Independence Day
7/29/20,Independence Day
8/30/20,St. Rose of Lima Day
10/8/20,Battle of Angamos
11/1/20,All Saints' Day
12/8/20,Immaculate Conception
12/25/20,Christmas
